Sl no,Comment,Comment_Tokens
408,pegfallon get a gripthis is fear mongering propaganda,"['pegfallon', 'get', 'grip', 'fear', 'mongering', 'propaganda']"
409,jennifersiebelnewsom a dc and an abortion are differentone woman goes in having lost a child and the other woman goes in to kill her living viable baby,"['jennifersiebelnewsom', 'dc', 'abortion', 'different', 'one', 'woman', 'goes', 'lost', 'child', 'woman', 'goes', 'kill', 'living', 'viable', 'baby']"
410,rosemealypfender idk seems pretty foolish to me to assume someone is an american let alone a republican when there is a whole world out there based on a reply to your absolutely pointless and irrelevant comment,"['rosemealypfender', 'idk', 'seems', 'pretty', 'foolish', 'assume', 'someone', 'american', 'let', 'alone', 'republican', 'whole', 'world', 'based', 'reply', 'absolutely', 'pointless', 'irrelevant', 'comment']"
411,rosemealypfender oh the irony and cliche ,"['rosemealypfender', 'oh', 'irony', 'cliche']"
412,dawnrenee im sorry you are so clueless  same thing happened to me i had a missed miscarriage and had to have an abortion d  c  it was mentally exhausting  luckily i  have  wonderful boys now,"['dawnrenee', 'im', 'sorry', 'clueless', 'thing', 'happened', 'missed', 'miscarriage', 'abortion', 'c', 'mentally', 'exhausting', 'luckily', 'wonderful', 'boys']"
413,chelsealeecoupe how dare you you are so ignorant to this particular situation and have the audacity to preach as if you know anything,"['chelsealeecoupe', 'dare', 'ignorant', 'particular', 'situation', 'audacity', 'preach', 'know', 'anything']"
414,judge not lest to be judged jesus words to live by,"['judge', 'lest', 'judged', 'jesus', 'words', 'live']"
415,lilystandleyusa im nonpartisan and this story is  true,"['lilystandleyusa', 'im', 'nonpartisan', 'story', 'true']"
416,so sorry about your swee babys  passing ,"['sorry', 'swee', 'babys', 'passing']"
417, tinamlaker part  im sorry if it seemed like i was dismissing her story thats the opposite of what i want to do my anger is not directed at her or any of the women in the article i did read it i  am a woman a woman who desires to live through pregnancy should i ever receive that blessing i am a sister an aunt a daughter a friend i care about women not just babies and it makes me sick seeing the way these women were treated during some of the hardest moments of their lives im angry that women arent told the truth about their options when theyre in the middle of unbelievably scary circumstances im angry that medical professionals are neglecting women whether out of genuine ignorancemisunderstanding of the laws or deliberate malpractice women deserve to know their rights they deserve to know that they are not legally required to sit and wait to die or develop sepsis because of pregnancy complications,"['tinamlaker', 'part', 'im', 'sorry', 'seemed', 'like', 'dismissing', 'story', 'thats', 'opposite', 'want', 'anger', 'directed', 'women', 'article', 'read', 'woman', 'woman', 'desires', 'live', 'pregnancy', 'ever', 'receive', 'blessing', 'sister', 'aunt', 'daughter', 'friend', 'care', 'women', 'babies', 'makes', 'sick', 'seeing', 'way', 'women', 'treated', 'hardest', 'moments', 'lives', 'im', 'angry', 'women', 'arent', 'told', 'truth', 'options', 'theyre', 'middle', 'unbelievably', 'scary', 'circumstances', 'im', 'angry', 'medical', 'professionals', 'neglecting', 'women', 'whether', 'genuine', 'ignorancemisunderstanding', 'laws', 'deliberate', 'malpractice', 'women', 'deserve', 'know', 'rights', 'deserve', 'know', 'legally', 'required', 'sit', 'wait', 'die', 'develop', 'sepsis', 'pregnancy', 'complications']"
418, tinamlaker  tinamlaker part  i live in tennessee a state with some of the strictest prolife laws in the country as mentioned in the article and i can tell you with  certainty that what happened to these women is not the standard of care for mother or baby i have women close to me that have experienced scenarios like the ones in this article when my sister was a week out from her due date with my niece she developed preeclampsia they induced and she gave birth to a healthy baby and had no further complications but a month ago she developed preeclampsia with my nephew this time she was six weeks from her due date they wanted to get her to  wks if possible so they scheduled induction but had her come in every afternoon to monitor and be sure she was not in any danger had she been in danger at any time they would have induced and immediately given care to both her and the baby my other sister is also pregnant and had an ectopic pregnancy scare early on had it been necessary they would have cut the fallopian tube to save her life her baby would have tragically died as a result but not because they killed it and my sister would be alive a  friend of mine went to the hospital two years ago because she got very sick near the end of her pregnancy they ran tests and discovered she had peripartum cardiomyopathy they performed an emergency csection so they could begin immediate treatment on her heart the baby had no complications but unfortunately my friend passed away about a month later because her heart was too weak to recover my point is simply that regardless of the situation the standard of care is always  deliver the baby if the mothers life is in danger and then do whatever possible to save the baby while providing the mother with the treatment she needs i know it can seem like prolife women dont care about other women but we are women too and never want to see a mom die because of pregnancy complications too many women are told the only option they have is to abort or die and this is simply not the case it isnt about saving eitheror its giving dignity and care to bothand,"['tinamlaker', 'tinamlaker', 'part', 'live', 'tennessee', 'state', 'strictest', 'prolife', 'laws', 'country', 'mentioned', 'article', 'tell', 'certainty', 'happened', 'women', 'standard', 'care', 'mother', 'baby', 'women', 'close', 'experienced', 'scenarios', 'like', 'ones', 'article', 'sister', 'week', 'due', 'date', 'niece', 'developed', 'preeclampsia', 'induced', 'gave', 'birth', 'healthy', 'baby', 'complications', 'month', 'ago', 'developed', 'preeclampsia', 'nephew', 'time', 'six', 'weeks', 'due', 'date', 'wanted', 'get', 'wks', 'possible', 'scheduled', 'induction', 'come', 'every', 'afternoon', 'monitor', 'sure', 'danger', 'danger', 'time', 'would', 'induced', 'immediately', 'given', 'care', 'baby', 'sister', 'also', 'pregnant', 'ectopic', 'pregnancy', 'scare', 'early', 'necessary', 'would', 'cut', 'fallopian', 'tube', 'save', 'life', 'baby', 'would', 'tragically', 'died', 'result', 'killed', 'sister', 'would', 'alive', 'friend', 'mine', 'went', 'hospital', 'two', 'years', 'ago', 'got', 'sick', 'near', 'end', 'pregnancy', 'ran', 'tests', 'discovered', 'peripartum', 'cardiomyopathy', 'performed', 'emergency', 'csection', 'could', 'begin', 'immediate', 'treatment', 'heart', 'baby', 'complications', 'unfortunately', 'friend', 'passed', 'away', 'month', 'later', 'heart', 'weak', 'recover', 'point', 'simply', 'regardless', 'situation', 'standard', 'care', 'always', 'deliver', 'baby', 'mothers', 'life', 'danger', 'whatever', 'possible', 'save', 'baby', 'providing', 'mother', 'treatment', 'needs', 'know', 'seem', 'like', 'prolife', 'women', 'dont', 'care', 'women', 'women', 'never', 'want', 'see', 'mom', 'die', 'pregnancy', 'complications', 'many', 'women', 'told', 'option', 'abort', 'die', 'simply', 'case', 'isnt', 'saving', 'eitheror', 'giving', 'dignity', 'care', 'bothand']"
419,lilystandleyusa proof that trump followers arent even mentally well let alone logical denying stuff right in their face but believing anything that man says weak fools,"['lilystandleyusa', 'proof', 'trump', 'followers', 'arent', 'even', 'mentally', 'well', 'let', 'alone', 'logical', 'denying', 'stuff', 'right', 'face', 'believing', 'anything', 'man', 'says', 'weak', 'fools']"
420,dawnrenee this is the delusion trump followers live in confidently giving medical advice absent the education,"['dawnrenee', 'delusion', 'trump', 'followers', 'live', 'confidently', 'giving', 'medical', 'advice', 'absent', 'education']"
421,so sad,['sad']
422,"chelsealeecoupe thankyou for your very thoughtful response i believe most people in the prolife movement would agree with us that women should not have to become septic when its already been determined that the baby wont survive going through a miscarriage and may need an abortion procedure called a dc to prevent excessive bleeding or infection or the numerous unique situations that may require a medical abortion but this is what makes abortion such a tricky topic there is no one size fits all solution for example a  week abortion ban would exclude anyone that may end up with pregnancy complications post  weeks katie cox is a good example of this   weeks pregnant extremely sick nonviable pregnancy that would likely kill her without an abortion in and out of the er while the texas supreme court finally ruled that she could have an abortion then the tx ag rejected the scs decision and said he would prosecute any dr who performed the abortion and would prosecute her she had to flee texas to get abortion medical care while being extremely sick she thought she was going to die 

i hope you will share these stories with your prolife friends and family because no woman deserves this kind of treatment every woman deserves basic medical care","['chelsealeecoupe', 'thankyou', 'thoughtful', 'response', 'believe', 'people', 'prolife', 'movement', 'would', 'agree', 'us', 'women', 'become', 'septic', 'already', 'determined', 'baby', 'wont', 'survive', 'going', 'miscarriage', 'may', 'need', 'abortion', 'procedure', 'called', 'dc', 'prevent', 'excessive', 'bleeding', 'infection', 'numerous', 'unique', 'situations', 'may', 'require', 'medical', 'abortion', 'makes', 'abortion', 'tricky', 'topic', 'one', 'size', 'fits', 'solution', 'example', 'week', 'abortion', 'ban', 'would', 'exclude', 'anyone', 'may', 'end', 'pregnancy', 'complications', 'post', 'weeks', 'katie', 'cox', 'good', 'example', 'weeks', 'pregnant', 'extremely', 'sick', 'nonviable', 'pregnancy', 'would', 'likely', 'kill', 'without', 'abortion', 'er', 'texas', 'supreme', 'court', 'finally', 'ruled', 'could', 'abortion', 'tx', 'ag', 'rejected', 'scs', 'decision', 'said', 'would', 'prosecute', 'dr', 'performed', 'abortion', 'would', 'prosecute', 'flee', 'texas', 'get', 'abortion', 'medical', 'care', 'extremely', 'sick', 'thought', 'going', 'die', 'hope', 'share', 'stories', 'prolife', 'friends', 'family', 'woman', 'deserves', 'kind', 'treatment', 'every', 'woman', 'deserves', 'basic', 'medical', 'care']"
423, this is beyond terrible come on america you can do so much better than that ,"['beyond', 'terrible', 'come', 'america', 'much', 'better']"
424,this poor family,"['poor', 'family']"
425,india america always love ,"['india', 'america', 'always', 'love']"
426,this fear mongering propaganda from our president should be illegal i feel so sorry for what this lady had to go through and that our government is using her horrific situation for their political gain,"['fear', 'mongering', 'propaganda', 'president', 'illegal', 'feel', 'sorry', 'lady', 'go', 'government', 'using', 'horrific', 'situation', 'political', 'gain']"
427,a dnc to remove the dead fetus and placenta is considered an abortion the mothers lives doesnt matter in these states ,"['dnc', 'remove', 'dead', 'fetus', 'placenta', 'considered', 'abortion', 'mothers', 'lives', 'doesnt', 'matter', 'states']"
428,agreed this situation is actually a medical malpractice suit that has nothing to do with roe v wade and this couple should have sued the hospital a miscarriage is a medical diagnosis of spontaneous abortion and care for it is the same as it has always been elective abortion is a procedure and one should never conflate the two please people i beg you to do your research and use your brains the fact that this as is so ridiculous false is horrifying,"['agreed', 'situation', 'actually', 'medical', 'malpractice', 'suit', 'nothing', 'roe', 'v', 'wade', 'couple', 'sued', 'hospital', 'miscarriage', 'medical', 'diagnosis', 'spontaneous', 'abortion', 'care', 'always', 'elective', 'abortion', 'procedure', 'one', 'never', 'conflate', 'two', 'please', 'people', 'beg', 'research', 'use', 'brains', 'fact', 'ridiculous', 'false', 'horrifying']"
429,stazi yes they are and its none of your business you have no say so on what any woman does with her body,"['stazi', 'yes', 'none', 'business', 'say', 'woman', 'body']"
430,yes he did,['yes']
431,dawnrenee do you know what youre talking about at all its called a missed miscarriage i had two of them and required a dc because the fetus wouldnt expel on its own there was no more heartbreaking surgery in my life so please dont talk about things you dont understand your ignorance is showing its ass,"['dawnrenee', 'know', 'youre', 'talking', 'called', 'missed', 'miscarriage', 'two', 'required', 'dc', 'fetus', 'wouldnt', 'expel', 'heartbreaking', 'surgery', 'life', 'please', 'dont', 'talk', 'things', 'dont', 'understand', 'ignorance', 'showing', 'ass']"
432,caprice  but hey yall believe the false narrative hes playing with your emotions ,"['caprice', 'hey', 'yall', 'believe', 'false', 'narrative', 'hes', 'playing', 'emotions']"
433,this is so heartbreaking i will never forgive the arrogant ignorance that allowed trump to be elected in the first place its absurd that he should even be allowed to run for anything,"['heartbreaking', 'never', 'forgive', 'arrogant', 'ignorance', 'allowed', 'trump', 'elected', 'first', 'place', 'absurd', 'even', 'allowed', 'run', 'anything']"
434,baileyedelman no it isnt,"['baileyedelman', 'isnt']"
435,a miscarriage is the expulsion of a fetus from the womb before it is able to survive independently there was no option for delivery what kind of medicine can prevent a miscarriage when youre having a miscarriage you either go home and have it at home without complications or there is complications like in this case where you need an abortion to remove the remaining tissue without that removal you can get sepsis and die these laws are outlawing that removal process again an abortion this is not a manner of your opinion or mine these are facts,"['miscarriage', 'expulsion', 'fetus', 'womb', 'able', 'survive', 'independently', 'option', 'delivery', 'kind', 'medicine', 'prevent', 'miscarriage', 'youre', 'miscarriage', 'either', 'go', 'home', 'home', 'without', 'complications', 'complications', 'like', 'case', 'need', 'abortion', 'remove', 'remaining', 'tissue', 'without', 'removal', 'get', 'sepsis', 'die', 'laws', 'outlawing', 'removal', 'process', 'abortion', 'manner', 'opinion', 'mine', 'facts']"
436,protection eliminates this,"['protection', 'eliminates']"
437,i had to have a dc procedure after i miscarried you never forget when you lose a baby never,"['dc', 'procedure', 'miscarried', 'never', 'forget', 'lose', 'baby', 'never']"
438,dawnrenee youre illinformed before you make ridiculous statements get the facts straight especially medical facts,"['dawnrenee', 'youre', 'illinformed', 'make', 'ridiculous', 'statements', 'get', 'facts', 'straight', 'especially', 'medical', 'facts']"
439,chelsealeecoupe id do some more research this is happening more  more,"['chelsealeecoupe', 'id', 'research', 'happening']"
440,sometimes the fetus isnt expelled at birth,"['sometimes', 'fetus', 'isnt', 'expelled', 'birth']"
441,baileyedelman that is not an abortion the baby died naturally in the mothers womb an abortion would be the killing of the baby in the womb,"['baileyedelman', 'abortion', 'baby', 'died', 'naturally', 'mothers', 'womb', 'abortion', 'would', 'killing', 'baby', 'womb']"
442,this message is propaganda at its finest when a baby dies naturally in the mothers womb it is not an abortion an abortion is killing the baby in the mothers womb on purpose this is a whole bunch of bs,"['message', 'propaganda', 'finest', 'baby', 'dies', 'naturally', 'mothers', 'womb', 'abortion', 'abortion', 'killing', 'baby', 'mothers', 'womb', 'purpose', 'whole', 'bunch', 'bs']"
443,teris wrong by the way abortion is not healthcare defund pp,"['teris', 'wrong', 'way', 'abortion', 'healthcare', 'defund', 'pp']"
444,scary you gave to even ask,"['scary', 'gave', 'even', 'ask']"
445,thank you and thank you amanda and josh for sharing your story this is why abortive care is healthcare  these people who say otherwise are so poorly educated of course trump himself said he loves the poorly educated  before this she would have been admitted immediately put on iv antibiotics if the baby had a heartbeat we would have tried to keep her going but that early it would have likely been in vain  we would have induced labor if able given mom the chance at photos and momentos and time with the baby she so desperately wanted  she would have had grief counselors she would have been monitored for infection once your water breaks infection risk is enormously increased and never would have been sent home unless she was healing properly  that is all healthcare  that is saving a mother and her future fertility while still doing postmortem care on her daughter  and yet instead the laws have made it where this wont be a rare story  having a whnp and starting in labor and delivery premature rupture of membranes isnt rare and there is only so much we can do after that depending on the gestational age  weeks isnt viable  then again i just had a woman attack me and call me a murder because she can look into the eyes of her children  i didnt have an elective abortion i was fighting the clock and needed fertility treatments myself and miscarried late  the dc was the last thing i wanted but i didnt have a choice the body does what it does  so i told her that she should be so pleased she can look into the eyes of her children since i will never see the eyes of my first son i did go on to conceive two more children with difficult pregnancies  nearly lost my second at  weeks  and right after i was out of time and had to have a hysterectomy which was the start of my cancer journey  and yet still i pursued nursing to help women like me only for our ld units to start closing their doors  and now biden wont be on our ballots as an option  tell me again how a therapeutic abortion the actual technical term isnt healthcare,"['thank', 'thank', 'amanda', 'josh', 'sharing', 'story', 'abortive', 'care', 'healthcare', 'people', 'say', 'otherwise', 'poorly', 'educated', 'course', 'trump', 'said', 'loves', 'poorly', 'educated', 'would', 'admitted', 'immediately', 'put', 'iv', 'antibiotics', 'baby', 'heartbeat', 'would', 'tried', 'keep', 'going', 'early', 'would', 'likely', 'vain', 'would', 'induced', 'labor', 'able', 'given', 'mom', 'chance', 'photos', 'momentos', 'time', 'baby', 'desperately', 'wanted', 'would', 'grief', 'counselors', 'would', 'monitored', 'infection', 'water', 'breaks', 'infection', 'risk', 'enormously', 'increased', 'never', 'would', 'sent', 'home', 'unless', 'healing', 'properly', 'healthcare', 'saving', 'mother', 'future', 'fertility', 'still', 'postmortem', 'care', 'daughter', 'yet', 'instead', 'laws', 'made', 'wont', 'rare', 'story', 'whnp', 'starting', 'labor', 'delivery', 'premature', 'rupture', 'membranes', 'isnt', 'rare', 'much', 'depending', 'gestational', 'age', 'weeks', 'isnt', 'viable', 'woman', 'attack', 'call', 'murder', 'look', 'eyes', 'children', 'didnt', 'elective', 'abortion', 'fighting', 'clock', 'needed', 'fertility', 'treatments', 'miscarried', 'late', 'dc', 'last', 'thing', 'wanted', 'didnt', 'choice', 'body', 'told', 'pleased', 'look', 'eyes', 'children', 'since', 'never', 'see', 'eyes', 'first', 'son', 'go', 'conceive', 'two', 'children', 'difficult', 'pregnancies', 'nearly', 'lost', 'second', 'weeks', 'right', 'time', 'hysterectomy', 'start', 'cancer', 'journey', 'yet', 'still', 'pursued', 'nursing', 'help', 'women', 'like', 'ld', 'units', 'start', 'closing', 'doors', 'biden', 'wont', 'ballots', 'option', 'tell', 'therapeutic', 'abortion', 'actual', 'technical', 'term', 'isnt', 'healthcare']"
446,"see poorly educated
google missed miscarriage  ectopic pregnancy  molar pregnancy  her water broke which increases her infection risk tremendously but her uterus did not contract  maybe some of your formerly pregnant friends can tell you about pitocin  this isnt rare  and the longer a missed miscarriage is not addressed the more likely the mother is to develop sepsis and die  and your water doesnt even have to break for that to happen  its called a therapeutic abortion both differ from a spontaneous abortion yes your friends miscarriages are considered abortions or an elective abortion which is used often in ivf patients who conceive and too many eggs implant or those who hyperovulate naturally and are prone to multiples  and even women who have a bifurcated uterus maybe google that too
placental abruptions cord prolapses  now we are just supposed to send these women home and wish them luck maybe a little education would do the whole nation a lot of good because total abortion ban means miscarrying will be illegal if the courts use medical terminology  and nobody is talking about it  also there is no punishment or shaming of the men in any of these situations wonder why that is she didnt get pregnant alone  why arent we discussing the other half of this ya know the men because capitol hill would likely explode with the women being jailed for the abortions forced on them by their high ranking political lovers  lets just be honest","['see', 'poorly', 'educated', 'google', 'missed', 'miscarriage', 'ectopic', 'pregnancy', 'molar', 'pregnancy', 'water', 'broke', 'increases', 'infection', 'risk', 'tremendously', 'uterus', 'contract', 'maybe', 'formerly', 'pregnant', 'friends', 'tell', 'pitocin', 'isnt', 'rare', 'longer', 'missed', 'miscarriage', 'addressed', 'likely', 'mother', 'develop', 'sepsis', 'die', 'water', 'doesnt', 'even', 'break', 'happen', 'called', 'therapeutic', 'abortion', 'differ', 'spontaneous', 'abortion', 'yes', 'friends', 'miscarriages', 'considered', 'abortions', 'elective', 'abortion', 'used', 'often', 'ivf', 'patients', 'conceive', 'many', 'eggs', 'implant', 'hyperovulate', 'naturally', 'prone', 'multiples', 'even', 'women', 'bifurcated', 'uterus', 'maybe', 'google', 'placental', 'abruptions', 'cord', 'prolapses', 'supposed', 'send', 'women', 'home', 'wish', 'luck', 'maybe', 'little', 'education', 'would', 'whole', 'nation', 'lot', 'good', 'total', 'abortion', 'ban', 'means', 'miscarrying', 'illegal', 'courts', 'use', 'medical', 'terminology', 'nobody', 'talking', 'also', 'punishment', 'shaming', 'men', 'situations', 'wonder', 'didnt', 'get', 'pregnant', 'alone', 'arent', 'discussing', 'half', 'ya', 'know', 'men', 'capitol', 'hill', 'would', 'likely', 'explode', 'women', 'jailed', 'abortions', 'forced', 'high', 'ranking', 'political', 'lovers', 'lets', 'honest']"
447,laurendanielle maybe realizing the difference between killing a small helpless innocent healthy child and cleansing the uterus of sadly a child who has died would be helpful,"['laurendanielle', 'maybe', 'realizing', 'difference', 'killing', 'small', 'helpless', 'innocent', 'healthy', 'child', 'cleansing', 'uterus', 'sadly', 'child', 'died', 'would', 'helpful']"
448,kayladawn if we want to assign blame for this anecdotal situation blame the state legislature and vote down the ballot in your state if you actually want better outcomes  the president doesnt have this kind of power you do,"['kayladawn', 'want', 'assign', 'blame', 'anecdotal', 'situation', 'blame', 'state', 'legislature', 'vote', 'ballot', 'state', 'actually', 'want', 'better', 'outcomes', 'president', 'doesnt', 'kind', 'power']"
449,americannonsense i know this tell that to the people blaming trump,"['americannonsense', 'know', 'tell', 'people', 'blaming', 'trump']"
450,No Comment,"['No', 'Comment']"
451,all joe can do is fearmonger for ye surely cant campaign on his amazing accomplishments with the border or the economy ,"['joe', 'fearmonger', 'ye', 'surely', 'cant', 'campaign', 'amazing', 'accomplishments', 'border', 'economy']"
452,you are a painful story,"['painful', 'story']"
453,whatever happened to the dc you know those poor little babies that were found that nobody said anything about or nobody gave any explanation  what about those children joey,"['whatever', 'happened', 'dc', 'know', 'poor', 'little', 'babies', 'found', 'nobody', 'said', 'anything', 'nobody', 'gave', 'explanation', 'children', 'joey']"
454,you know what that should be the least of our problems right now do you plan on putting sanctions back on iran because if you never took them away they would have never had the money or the potential to do what they are doing right now you need to reverse everything you signed away on day one,"['know', 'least', 'problems', 'right', 'plan', 'putting', 'sanctions', 'back', 'iran', 'never', 'took', 'away', 'would', 'never', 'money', 'potential', 'right', 'need', 'reverse', 'everything', 'signed', 'away', 'day', 'one']"
455,and also women who want an abortion for no good reason and are just using it as birth control need to be punished,"['also', 'women', 'want', 'abortion', 'good', 'reason', 'using', 'birth', 'control', 'need', 'punished']"
456,No Comment,"['No', 'Comment']"
457,lilystandleyusa look you lie about things you dont know anything at all about and  people follow along  how is that  helpful  or ethical  how does it improve your life or others,"['lilystandleyusa', 'look', 'lie', 'things', 'dont', 'know', 'anything', 'people', 'follow', 'along', 'helpful', 'ethical', 'improve', 'life', 'others']"
458,amren  spot on,"['amren', 'spot']"
459,partofwhole  yes,"['partofwhole', 'yes']"
460,the twist is what you are saying to keep a cruel and outlandish law,"['twist', 'saying', 'keep', 'cruel', 'outlandish', 'law']"
461,aidenfreakinclark  i agree,"['aidenfreakinclark', 'agree']"
462,timmythomshow  it was a choice those women made they can regret their choice but not force their regret on all women,"['timmythomshow', 'choice', 'women', 'made', 'regret', 'choice', 'force', 'regret', 'women']"
463,ryannbrittany  your comment is unkind and has nothing to do with the topic,"['ryannbrittany', 'comment', 'unkind', 'nothing', 'topic']"
464,chelsealeecoupe  you could not be more wrong i personally know two women who were made to carry their already dead fetus to near term can you image the emotional and now added physical damage they suffered,"['chelsealeecoupe', 'could', 'wrong', 'personally', 'know', 'two', 'women', 'made', 'carry', 'already', 'dead', 'fetus', 'near', 'term', 'image', 'emotional', 'added', 'physical', 'damage', 'suffered']"
465,ashlynmcmullan  it wasnt an abortion because did the fetuses pass through on their own or did you have a procedure  guess what  abortion,"['ashlynmcmullan', 'wasnt', 'abortion', 'fetuses', 'pass', 'procedure', 'guess', 'abortion']"
466,dnc to clean you out,"['dnc', 'clean']"
467,adameros ,['adameros']
468,the people saying this isnt true just wait until ur on the operating table begging for a doctor to save ur life and they send you home because orange spray tan man said u dont deserve medical attention since its a choice,"['people', 'saying', 'isnt', 'true', 'wait', 'ur', 'operating', 'table', 'begging', 'doctor', 'save', 'ur', 'life', 'send', 'home', 'orange', 'spray', 'tan', 'man', 'said', 'u', 'dont', 'deserve', 'medical', 'attention', 'since', 'choice']"
469,lo ki,"['lo', 'ki']"
470,she didnt need an abortion following a miscarriage if the fetus is not expelled the medical procedure she required was a dc not an abortion and if she was denied this required and normal procedure then it is the fault of the hospital or doctor she saw this story has nothing to do with abortion just another lie by you and your administration,"['didnt', 'need', 'abortion', 'following', 'miscarriage', 'fetus', 'expelled', 'medical', 'procedure', 'required', 'dc', 'abortion', 'denied', 'required', 'normal', 'procedure', 'fault', 'hospital', 'doctor', 'saw', 'story', 'nothing', 'abortion', 'another', 'lie', 'administration']"
471,this is a complete lie the white house should be ashamed ive had  miscarriages myself to compare the intentional killing of a child abortion to a miscarriage is propaganda to push keeping murder legal let it be clear if a child has died of natural causes in the mothers womb a doctor can do anything necessary including a dc to protect the mother against infection go call any doctor in the entire country and they will confirm this i pray the truth is exposed and for you all to repent and chose to obey god and protect children in the womb life is a gift from god what a wicked time we live in the lord is not slow to fulfill his promise as some count slowness but is patient toward you not wishing that any should perish but that all should reach repentance peter ,"['complete', 'lie', 'white', 'house', 'ashamed', 'ive', 'miscarriages', 'compare', 'intentional', 'killing', 'child', 'abortion', 'miscarriage', 'propaganda', 'push', 'keeping', 'murder', 'legal', 'let', 'clear', 'child', 'died', 'natural', 'causes', 'mothers', 'womb', 'doctor', 'anything', 'necessary', 'including', 'dc', 'protect', 'mother', 'infection', 'go', 'call', 'doctor', 'entire', 'country', 'confirm', 'pray', 'truth', 'exposed', 'repent', 'chose', 'obey', 'god', 'protect', 'children', 'womb', 'life', 'gift', 'god', 'wicked', 'time', 'live', 'lord', 'slow', 'fulfill', 'promise', 'count', 'slowness', 'patient', 'toward', 'wishing', 'perish', 'reach', 'repentance', 'peter']"
472,this is a complete lie the white house should be ashamed ive had  miscarriages myself to compare the intentional killing of a child abortion to a miscarriage is propaganda to push keeping murder legal let it be clear if a child has died of natural causes in the mothers womb a doctor can do anything necessary including a dc to protect the mother against infection go call any doctor in the entire country and they will confirm this i pray the truth is exposed and for you all to repent and chose to obey god and protect children in the womb life is a gift from god what a wicked time we live in the lord is not slow to fulfill his promise as some count slowness but is patient toward you not wishing that any should perish but that all should reach repentance peter ,"['complete', 'lie', 'white', 'house', 'ashamed', 'ive', 'miscarriages', 'compare', 'intentional', 'killing', 'child', 'abortion', 'miscarriage', 'propaganda', 'push', 'keeping', 'murder', 'legal', 'let', 'clear', 'child', 'died', 'natural', 'causes', 'mothers', 'womb', 'doctor', 'anything', 'necessary', 'including', 'dc', 'protect', 'mother', 'infection', 'go', 'call', 'doctor', 'entire', 'country', 'confirm', 'pray', 'truth', 'exposed', 'repent', 'chose', 'obey', 'god', 'protect', 'children', 'womb', 'life', 'gift', 'god', 'wicked', 'time', 'live', 'lord', 'slow', 'fulfill', 'promise', 'count', 'slowness', 'patient', 'toward', 'wishing', 'perish', 'reach', 'repentance', 'peter']"
473,heather come to california,"['heather', 'come', 'california']"
474,stazi it is health care planned parenthood us a great organization and will continue to help all women who need them,"['stazi', 'health', 'care', 'planned', 'parenthood', 'us', 'great', 'organization', 'continue', 'help', 'women', 'need']"
475,democratsdestroyeverything not until it takes its first breath not your body not your choice or any of your business,"['democratsdestroyeverything', 'takes', 'first', 'breath', 'body', 'choice', 'business']"
476,xanienze its not murder its health care,"['xanienze', 'murder', 'health', 'care']"
477,xanienze you are delusional it is a womans right to choose because its her body and you have  your own body to worry about she can do whatever she wants with her body,"['xanienze', 'delusional', 'womans', 'right', 'choose', 'body', 'body', 'worry', 'whatever', 'wants', 'body']"
478,here goes back alley abortions again the mom and baby both die,"['goes', 'back', 'alley', 'abortions', 'mom', 'baby', 'die']"
479,teris nope millions  are made from their killings see the videos of what the executives laughing while having a glass of wine giving prices for certain parts vile not health care in any way,"['teris', 'nope', 'millions', 'made', 'killings', 'see', 'videos', 'executives', 'laughing', 'glass', 'wine', 'giving', 'prices', 'certain', 'parts', 'vile', 'health', 'care', 'way']"
480,thats to hardin sinn of this,"['thats', 'hardin', 'sinn']"
481,no comment,['comment']
482,president trump did not do this,"['president', 'trump']"
483,the misinformation here is astounding a miscarriage is when your baby dies naturally some women require a dc  procedure to have it removed there is absolutely no law in this country that keeps a woman from getting miscarriage care an abortion is done specifically to kill the baby theres a huge difference,"['misinformation', 'astounding', 'miscarriage', 'baby', 'dies', 'naturally', 'women', 'require', 'dc', 'procedure', 'removed', 'absolutely', 'law', 'country', 'keeps', 'woman', 'getting', 'miscarriage', 'care', 'abortion', 'done', 'specifically', 'kill', 'baby', 'theres', 'huge', 'difference']"
484,amren and there is absolutely no law stopping women from having dcs done due to an abortion period this is the lie being told,"['amren', 'absolutely', 'law', 'stopping', 'women', 'dcs', 'done', 'due', 'abortion', 'period', 'lie', 'told']"
485,embryo fetus baby  its still a human in different stages of development period ,"['embryo', 'fetus', 'baby', 'still', 'human', 'different', 'stages', 'development', 'period']"
486,pegfallon and thats exactly why this is misinformation and fear mongering there is not one state in the usa that does not allow a woman to have miscarriage care dc this is a big fat lie they are telling,"['pegfallon', 'thats', 'exactly', 'misinformation', 'fear', 'mongering', 'one', 'state', 'usa', 'allow', 'woman', 'miscarriage', 'care', 'dc', 'big', 'fat', 'lie', 'telling']"
487,ive seen what i needed i hope the principalities at work behind your actions and decisions understand that a holy god and fiery wrath of judgement awaits them continue to spread fear for your own gain the lord keeps receipts may jesus rebuke you satan and for you mr biden i will pray for you it wont be long until you meet jesus,"['ive', 'seen', 'needed', 'hope', 'principalities', 'work', 'behind', 'actions', 'decisions', 'understand', 'holy', 'god', 'fiery', 'wrath', 'judgement', 'awaits', 'continue', 'spread', 'fear', 'gain', 'lord', 'keeps', 'receipts', 'may', 'jesus', 'rebuke', 'satan', 'mr', 'biden', 'pray', 'wont', 'long', 'meet', 'jesus']"
